iter	MultiClass
0	0.8162321528
1	0.6049501918
2	0.4848142071
3	0.3956223083
4	0.3409458612
5	0.296006734
6	0.266990644
7	0.239271704
8	0.2182960347
9	0.1991806822
10	0.1865641642
11	0.1680785167
12	0.1580231005
13	0.1488413101
14	0.1380983472
15	0.1303977932
16	0.1248922055
17	0.1203089319
18	0.1130055592
19	0.1095416166
20	0.1052952061
21	0.1020861486
22	0.09774106647
23	0.09488136445
24	0.09292080433
25	0.09165641673
26	0.08985541842
27	0.08757741334
28	0.08577347282
29	0.08429466388
30	0.08327195075
31	0.07922383834
32	0.07851021505
33	0.07824810198
34	0.07798035973
35	0.07742252949
36	0.0771554851
37	0.07682668522
38	0.07642581817
39	0.07540758995
40	0.07419391572
41	0.07219105002
42	0.07170824461
43	0.0708787659
44	0.07009666195
45	0.06911747472
46	0.06829337945
47	0.06783721374
48	0.06748191945
49	0.06669391017
50	0.06466406068
51	0.06309895707
52	0.06297281518
53	0.06267684538
54	0.06253132059
55	0.06201005007
56	0.06195398218
57	0.06181513334
58	0.06174491549
59	0.06163297073
60	0.06097289955
61	0.06087815586
62	0.0605099625
63	0.06044729277
64	0.05926873822
65	0.05921520119
66	0.05910435581
67	0.05903106093
68	0.0589884267
69	0.05890378299
70	0.05880580242
71	0.05874009221
72	0.0586640021
73	0.0586057329
74	0.05770774045
75	0.05762400973
76	0.05706460408
77	0.05702597979
78	0.05696509284
79	0.05687524764
80	0.0568259705
81	0.05616575396
82	0.05606259957
83	0.05590800626
84	0.05572374911
85	0.05569226366
86	0.05563052347
87	0.05557716654
88	0.05545980374
89	0.05530715407
90	0.05525114228
91	0.05522268933
92	0.05517590009
93	0.05472437898
94	0.05465507333
95	0.05443805589
96	0.0544171037
97	0.05411740525
98	0.05403952313
99	0.05397938351
