iter	Passed	Remaining
0	10480	1037580
1	17046	835262
2	22122	715292
3	28729	689508
4	38226	726306
5	45418	711557
6	56490	750512
7	66991	770406
8	76042	768870
9	88209	793884
10	95864	775633
11	104101	763414
12	120679	807626
13	145519	893903
14	160743	910881
15	178708	938220
16	198707	970158
17	209673	955179
18	216805	924275
19	224225	896903
20	231951	872578
21	239569	849384
22	251767	842875
23	260654	825407
24	268252	804757
25	275149	783118
26	285236	771196
27	292194	751358
28	301864	739047
29	310564	724650
30	318431	708767
31	328255	697542
32	336051	682287
33	344534	668802
34	353280	656092
35	362610	644641
36	372880	634904
37	380114	620187
38	386493	604515
39	394571	591856
40	401122	577224
41	410691	567144
42	419993	556735
43	425627	541708
44	431420	527291
45	437821	513963
46	444766	501545
47	449914	487407
48	455497	474088
49	461569	461569
50	468626	450249
51	477814	441059
52	486207	431165
53	493625	420495
54	501264	410125
55	509963	400685
56	517055	390059
57	525010	380179
58	532381	369960
59	539610	359740
60	550036	351662
61	557985	341991
62	566193	332526
63	573011	322318
64	581433	313079
65	589767	303819
66	598163	294617
67	606169	285256
68	614156	275925
69	621834	266500
70	630169	257393
71	637784	248027
72	644641	238429
73	651163	228787
74	658891	219630
75	666923	210607
76	675057	201640
77	682312	192447
78	690924	183663
79	700328	175082
80	709767	166488
81	717158	157425
82	725584	148613
83	735778	140148
84	747297	131875
85	756421	123138
86	765219	114343
87	773041	105414
88	784459	96955
89	791066	87896
90	798110	78933
91	804255	69935
92	813343	61219
93	816877	52141
94	822023	43264
95	829961	34581
96	838194	25923
97	843099	17206
98	846952	8555
99	851535	0
